Timestamp,How often do you visit Panera Bread?,What is your age group?,Were you aware of the Unlimited Sip Club before this survey?,How did you first learn about the Unlimited Sip Club? (Select all that apply),Are you currently a member of the Unlimited Sip Club?,"If yes, what motivated you to join the Unlimited Sip Club? (Select all that apply)",Would you go to Panera as often if they did not offer the Unlimited Sip Club?,"If no or previously, what were the reasons for not joining or cancelling? (Select all that apply)",How has your frequency of visits to Panera changed since joining the Unlimited Sip Club?,"Do you typically purchase additional items (e.g., food) along with your beverage when using the Unlimited Sip Club?",How satisfied are you with the Unlimited Sip Club? (If applicable),Do you believe the Unlimited Sip Club is a good value for the price?,Has the Unlimited Sip Club influenced your decision to choose Panera over other dining options?
2/23/2024 11:11:58,Rarely,18-24,Yes,"Social media, Word of mouth",No,,,"Value for money, Variety of drink options",Not applicable/I am not a member,Not applicable/I am not a member,Neutral,Unsure/Not applicable,"Yes, somewhat"
2/23/2024 11:12:51,Rarely,18-24,No,"Social media, Word of mouth",No,Other,,Variety of drink options,Not applicable/I am not a member,Not applicable/I am not a member,Neutral,Unsure/Not applicable,Unsure/Not applicable
2/23/2024 11:13:57,Daily,Under 18,Yes,In-store promotion,Yes,"Value for money, Convenient, Variety of drink options",,Other,Increased significantly,Sometimes,Very satisfied,Yes,"Yes, somewhat"
2/23/2024 11:14:21,Rarely,18-24,Yes,Word of mouth,No,N/A,,N/A,Not applicable/I am not a member,Not applicable/I am not a member,Neutral,Unsure/Not applicable,Unsure/Not applicable
2/23/2024 11:22:28,Monthly,18-24,Yes,"In-store promotion, Social media, Word of mouth","Previously, but not anymore","Value for money, Convenient, Variety of drink options",,Other,Remained the same,Sometimes,Neutral,Yes,Not really
2/23/2024 11:26:31,Weekly,25-34,Yes,Word of mouth,Yes,Value for money,,N/A,Increased,Sometimes,Somewhat satisfied,Yes,"Yes, somewhat"
2/23/2024 11:28:57,Daily,18-24,Yes,In-store promotion,Yes,Value for money,,N/A,Increased significantly,Sometimes,Very satisfied,Yes,"Yes, somewhat"
2/23/2024 11:56:34,Weekly,18-24,Yes,Social media,No,Other,,Other,Not applicable/I am not a member,Not applicable/I am not a member,Neutral,Yes,Not at all
2/23/2024 12:14:50,Rarely,18-24,Yes,In-store promotion,No,,,"Convenient, Variety of drink options",Not applicable/I am not a member,Always,Neutral,Yes,Not really
2/23/2024 13:08:37,Rarely,25-34,Yes,"Social media, Word of mouth",No,N/A,,N/A,Not applicable/I am not a member,Not applicable/I am not a member,Neutral,Unsure/Not applicable,Unsure/Not applicable
2/23/2024 13:52:41,Rarely,18-24,No,Other,No,N/A,,N/A,Not applicable/I am not a member,Not applicable/I am not a member,Neutral,No,Unsure/Not applicable
2/23/2024 15:26:35,Daily,18-24,Yes,"In-store promotion, Social media, Word of mouth",Yes,"Value for money, Convenient",,,Increased,Sometimes,Very satisfied,Yes,"Yes, somewhat"
2/23/2024 15:35:45,Daily,25-34,Yes,Social media,Yes,"Value for money, Convenient",,,Increased significantly,Rarely,Very satisfied,Yes,"Yes, somewhat"
2/23/2024 15:42:43,Rarely,18-24,No,Social media,No,N/A,,N/A,Not applicable/I am not a member,Not applicable/I am not a member,Neutral,Unsure/Not applicable,Unsure/Not applicable
2/23/2024 15:43:12,Weekly,25-34,Yes,Social media,Yes,"Value for money, Convenient",,N/A,Increased slightly,Always,Neutral,Yes,"Yes, significantly"
2/23/2024 15:48:13,N/A,18-24,No,Word of mouth,No,N/A,,N/A,Not applicable/I am not a member,Not applicable/I am not a member,Neutral,Unsure/Not applicable,Unsure/Not applicable
2/23/2024 16:14:21,Rarely,18-24,Yes,In-store promotion,No,N/A,,"Convenient, Other",Not applicable/I am not a member,Not applicable/I am not a member,Neutral,Unsure/Not applicable,Unsure/Not applicable
2/23/2024 16:46:21,Weekly,35+,No,Social media,No,N/A,,Other,Not applicable/I am not a member,Rarely,Neutral,Unsure/Not applicable,Unsure/Not applicable
2/23/2024 16:47:04,Daily,25-34,Yes,Social media,Yes,"Value for money, Convenient, Variety of drink options",,,Increased significantly,Sometimes,Somewhat satisfied,Yes,Not really
2/23/2024 16:48:35,Daily,35+,Yes,In-store promotion,Yes,"Value for money, Convenient, Variety of drink options",,Other,Increased,Rarely,Very satisfied,Yes,"Yes, somewhat"
2/23/2024 17:37:51,Daily,18-24,Yes,Other,No,N/A,,Other,Not applicable/I am not a member,Not applicable/I am not a member,Neutral,Yes,Unsure/Not applicable
2/23/2024 18:11:53,Weekly,35+,Yes,Word of mouth,"Previously, but not anymore",Value for money,,Other,Increased significantly,Sometimes,Somewhat satisfied,Yes,"Yes, somewhat"
2/23/2024 18:50:27,Daily,18-24,Yes,"Social media, Word of mouth",Yes,"Value for money, Convenient, Variety of drink options, Recommendations",,N/A,Increased significantly,Sometimes,Very satisfied,Yes,"Yes, somewhat"
2/23/2024 19:09:27,Daily,35+,Yes,In-store promotion,Yes,"Value for money, Convenient, Variety of drink options",,N/A,Increased significantly,Sometimes,Very satisfied,Yes,"Yes, significantly"
2/23/2024 19:42:26,Weekly,25-34,Yes,"In-store promotion, Social media",Yes,"Value for money, Convenient",,,Increased significantly,Sometimes,Somewhat satisfied,Yes,"Yes, somewhat"
2/23/2024 20:10:39,Daily,25-34,Yes,In-store promotion,Yes,"Value for money, Convenient",,Value for money,Increased,Sometimes,Very satisfied,Yes,"Yes, significantly"
2/23/2024 20:11:37,Weekly,18-24,Yes,Word of mouth,Yes,"Value for money, Convenient, Variety of drink options",,N/A,Increased,Never,Somewhat satisfied,Yes,"Yes, significantly"
2/23/2024 20:29:55,Daily,18-24,Yes,Word of mouth,Yes,"Value for money, Variety of drink options",,,Increased,Sometimes,Somewhat satisfied,Yes,"Yes, significantly"
2/23/2024 20:44:04,Weekly,35+,Yes,Word of mouth,Yes,"Value for money, Convenient, Variety of drink options, Other",,,Increased significantly,Rarely,Somewhat satisfied,Yes,Not at all
2/23/2024 20:46:19,Daily,35+,Yes,Social media,Yes,"Value for money, Convenient",,Other,Increased,Rarely,Very satisfied,Yes,"Yes, significantly"
2/23/2024 21:16:06,Daily,35+,Yes,"In-store promotion, Word of mouth",Yes,Value for money,,N/A,Increased significantly,Never,Very satisfied,Yes,Not at all
2/23/2024 21:30:32,Daily,25-34,Yes,In-store promotion,Yes,Value for money,,N/A,Remained the same,Sometimes,Very satisfied,Yes,"Yes, somewhat"
2/23/2024 21:30:42,Daily,18-24,Yes,Social media,Yes,Value for money,,N/A,Increased significantly,Never,Somewhat satisfied,Yes,"Yes, somewhat"
2/23/2024 22:03:44,Weekly,25-34,Yes,Social media,Yes,"Value for money, Convenient, Variety of drink options",,N/A,Increased,Rarely,Very satisfied,Yes,"Yes, somewhat"
2/23/2024 22:37:30,Daily,25-34,Yes,Word of mouth,Yes,"Value for money, Convenient, Variety of drink options",,N/A,Increased,Never,Very satisfied,Yes,Not at all
2/23/2024 22:48:38,Daily,35+,Yes,Other,Yes,Value for money,,Value for money,Increased significantly,Rarely,Somewhat satisfied,Unsure/Not applicable,Not at all
2/23/2024 22:49:37,Weekly,25-34,Yes,Social media,Yes,Value for money,,N/A,Increased,Never,Very satisfied,Yes,"Yes, significantly"
2/24/2024 0:06:15,Rarely,18-24,Yes,"Word of mouth, Other",No,,,Value for money,Not applicable/I am not a member,Not applicable/I am not a member,Neutral,Unsure/Not applicable,Unsure/Not applicable
2/24/2024 5:17:59,Rarely,18-24,Yes,Social media,Yes,Value for money,,,Increased significantly,Sometimes,Somewhat satisfied,Yes,"Yes, significantly"
2/24/2024 21:04:34,Daily,Under 18,Yes,Other,Yes,N/A,,N/A,Increased significantly,Always,Very satisfied,Yes,"Yes, significantly"
2/24/2024 21:32:45,Weekly,18-24,Yes,In-store promotion,"Previously, but not anymore","Convenient, Free trial",,Free Trial expired,Increased,Always,Very satisfied,Yes,"Yes, significantly"
2/25/2024 0:25:08,Monthly,25-34,Yes,In-store promotion,No,N/A,,N/A,Not applicable/I am not a member,Not applicable/I am not a member,Neutral,Unsure/Not applicable,Unsure/Not applicable
2/25/2024 8:23:35,Weekly,25-34,Yes,Social media,"Previously, but not anymore",Convenient,,Value for money,Remained the same,Sometimes,Somewhat satisfied,Yes,"Yes, significantly"
2/25/2024 10:44:07,Monthly,18-24,Yes,Social media,Yes,"Value for money, Convenient, Initial discount on membership price (example: free first 3 months of sip club)",,,Increased,Sometimes,Somewhat satisfied,Yes,"Yes, somewhat"
2/26/2024 18:03:05,N/A,18-24,No,Other,No,N/A,N/A,N/A,Not applicable/I am not a member,Not applicable/I am not a member,Unsure/Not applicable,Unsure/Not applicable,Unsure/Not applicable
2/29/2024 21:44:33,N/A,18-24,No,"Word of mouth, Other",No,,No,,Not applicable/I am not a member,Not applicable/I am not a member,Somewhat satisfied,Yes,Not really
2/29/2024 22:59:35,Rarely,18-24,No,Other,No,,No,N/A,Increased significantly,Sometimes,Very satisfied,Yes,"Yes, somewhat"
2/29/2024 23:06:55,Rarely,18-24,No,Word of mouth,No,N/A,Yes,N/A,Not applicable/I am not a member,Not applicable/I am not a member,Unsure/Not applicable,Unsure/Not applicable,Unsure/Not applicable
3/2/2024 1:41:01,Rarely,18-24,Yes,Social media,No,N/A,Yes,the charged lemonade made me fearful of their drinks,Not applicable/I am not a member,Not applicable/I am not a member,Unsure/Not applicable,Unsure/Not applicable,Not at all
3/2/2024 1:43:15,Monthly,18-24,Yes,In-store promotion,No,N/A,Yes,Do not go often enough.,Not applicable/I am not a member,Not applicable/I am not a member,Unsure/Not applicable,Unsure/Not applicable,Not at all
3/14/2024 10:30:00,N/A,18-24,Yes,"Social media, Word of mouth",No,N/A,N/A,N/A,Not applicable/I am not a member,Not applicable/I am not a member,Unsure/Not applicable,Unsure/Not applicable,Unsure/Not applicable
3/20/2024 11:40:07,Daily,18-24,Yes,In-store promotion,Yes,"Value for money, Convenient, Variety of drink options",No,,Increased,Sometimes,Very satisfied,Yes,"Yes, somewhat"
3/20/2024 11:40:49,Daily,25-34,Yes,Social media,Yes,"Value for money, Convenient",No,,Increased significantly,Always,Very satisfied,Yes,"Yes, significantly"
3/20/2024 11:41:17,Daily,35+,Yes,In-store promotion,Yes,Convenient,No,,Increased significantly,Sometimes,Very satisfied,Yes,"Yes, significantly"
3/20/2024 11:42:17,Daily,35+,Yes,Word of mouth,Yes,"Value for money, Convenient, Variety of drink options, Recommendations",No,N/A,Increased significantly,Always,Somewhat satisfied,Yes,"Yes, significantly"
3/20/2024 11:42:57,Daily,35+,Yes,"In-store promotion, Word of mouth",Yes,"Value for money, Convenient, Variety of drink options, Recommendations",No,N/A,Increased significantly,Always,Very satisfied,Yes,"Yes, significantly"
3/20/2024 11:43:44,Daily,35+,Yes,In-store promotion,Yes,Value for money,No,N/A,Increased significantly,Always,Very satisfied,Yes,"Yes, significantly"
3/20/2024 11:44:21,Weekly,35+,Yes,Social media,Yes,"Value for money, Convenient, Variety of drink options, Recommendations",No,N/A,Increased slightly,Sometimes,Very satisfied,Yes,"Yes, significantly"
3/20/2024 11:45:26,Daily,35+,Yes,In-store promotion,Yes,Variety of drink options,No,N/A,Increased,Always,Somewhat satisfied,Yes,"Yes, significantly"
3/20/2024 11:45:56,Daily,35+,Yes,In-store promotion,Yes,"Value for money, Convenient, Variety of drink options",No,N/A,Increased significantly,Sometimes,Very satisfied,Yes,"Yes, somewhat"
3/20/2024 11:46:25,Weekly,25-34,No,"In-store promotion, Social media, Word of mouth",Yes,Convenient,No,N/A,Increased significantly,Always,Very satisfied,Yes,"Yes, somewhat"
3/20/2024 11:47:13,Weekly,35+,Yes,"In-store promotion, Word of mouth",Yes,"Value for money, Convenient, Variety of drink options, Recommendations, nearby",No,N/A,Increased significantly,Sometimes,Somewhat satisfied,Yes,"Yes, somewhat"
3/26/2024 2:08:59,Rarely,18-24,No,Social media,No,N/A,Yes,N/A,Increased,Sometimes,Neutral,No,"Yes, somewhat"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Unlimited Panera Sip Club Dashboard ,,,,,,,,,,,,